objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Age of Steam Deluxe Expansion: New England/Pittsburgh & Switzerland Maps","294606","0","0","0","1","0","0","0","0","0","0","0","3","EGG","","","","","74943516","5.62188","8.32379","3.5","0","753","thing","Age of Steam Deluxe Expansion: New England/Pittsburgh & Switzerland Maps","3","6","180","180","120","2019","2,3,4","2,3","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Eagle-Gryphon Games","English","2019","English edition"
"Age of Steam Deluxe: Expansion Volume V","444517","0","0","0","1","0","0","0","0","0","1","0","3","Kickstarter","","","","","134751207","0","6.875","0","0","44","thing","Age of Steam Deluxe: Expansion Volume V","1","6","120","120","0","2026","","","","","","","","","","expansion","","","","","","","","","","","","Eagle-Gryphon Games","English","2026","English edition"
"Age of Steam: Deluxe Edition","4098","9","0","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","58959515","7.49138","7.87141","3.8548","139","14230","thing","Age of Steam","1","6","120","120","120","2019","3,4,5,6","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","B6","2025-09-07","Eagle-Gryphon Games","English","2019","English first edition"
"Age of Steam: Deluxe Expansion – France & Poland Maps","297784","0","0","0","1","0","0","0","0","0","0","0","3","EGG","","","","","74943508","5.60112","8.13556","3.6667","0","730","thing","Age of Steam: Deluxe Expansion – France & Poland Maps","3","6","180","180","120","2019","3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Eagle-Gryphon Games","English","2019","English edition"
"Agricola: All Creatures Big and Small – Even More Buildings Big and Small","145355","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55450373","6.16655","7.70126","2.5","0","3537","thing","Agricola: All Creatures Big and Small – Even More Buildings Big and Small","2","2","30","30","30","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Agricola: Terres d'Élevage","119890","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","15455821","7.04117","7.32325","2.3524","460","20854","thing","Agricola: All Creatures Big and Small","2","2","30","30","30","2012","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","C2","2025-09-07","","","",""
"Agricola: Terres d'élevage – Bâtiments de ferme","130752","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55450371","6.48035","7.66803","2.3146","0","5789","thing","Agricola: All Creatures Big and Small – More Buildings Big and Small","2","2","30","30","30","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Filosofia Éditions","French","2012","French edition"
"Agropolis","314088","7","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","75237021","6.45527","7.25016","1.7568","1435","9283","thing","Agropolis","1","4","20","20","15","2021","1,2","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Button Shy","English","2021","English Wallet edition"
"Agropolis: Invasion","321696","7","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","75237037","5.61538","6.69003","1.3333","0","3112","thing","Agropolis: Invasion","1","4","20","20","15","2021","1,2","1","8+","","","","","","","expansion","","","","","","","","","","","","Button Shy","English","2021","English Sleeve edition"
"Agropolis: Points of Interest","321697","7","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","75237053","5.63237","6.85582","1.4","0","2705","thing","Agropolis: Points of Interest","1","4","20","20","15","2021","1,2","1","8+","","","","","","","expansion","","","","","","","","","","","","Button Shy","English","2021","English Sleeve edition"
"Águeda: City of Umbrellas","317515","0","0","0","1","0","0","0","0","0","0","0","3","Gamefound","","","","","120325771","5.73734","6.86834","1.7059","5637","1399","thing","Águeda: City of Umbrellas","1","5","40","40","20","2024","1,2,3,4","3,4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","25th Century Games","English; Portuguese","2024","English/Portuguese edition"
"Airlines Europe","90419","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","14181772","6.85496","7.29347","2.4318","683","8420","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Filosofia Éditions","French","2011","French first edition"
"Airlines Europe: Flight Ban","107820","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","13770388","5.56516","6.59073","2.375","0","836","thing","Airlines Europe: Flight Ban","2","5","75","75","0","2011","2,3,4,5","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Airlines Europe: New Bonus Connections","123504","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","72705540","5.62404","7.28286","2.25","0","817","thing","Airlines Europe: New Bonus Connections","2","5","75","75","75","2012","2,3,4,5","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Airlines Europe: The Presidents","130814","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","72705541","5.59762","7.02519","2.7143","0","834","thing","Airlines Europe: The Presidents","2","5","75","75","75","2012","2,3,4,5","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Akropolis","357563","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","103896871","7.04751","7.44504","1.8021","453","15033","thing","Akropolis","1","4","30","30","20","2022","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A1","2025-09-07","Gigamic","French","2022","French edition"
"Akropolis: Athena","422822","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127638808","5.90241","7.73356","2.3","0","2696","thing","Akropolis: Athena","1","4","25","25","25","2024","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Gigamic","French","2024","French edition"
"Akropolis: Athena Promo Cards","430908","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140127243","0","7.71429","2","0","322","thing","Akropolis: Athena Promo Cards","1","4","0","0","0","2024","1,2,3,4","3","","","","","","","","expansion","","","","","","","","","","","","Gigamic","English","2024","English edition"
"Algae, Inc.","403683","0","0","0","1","0","0","0","0","0","0","0","3","Gamefound","","","","","120152243","5.88765","7.86887","4.25","3986","1263","thing","Algae, Inc.","1","4","120","120","90","2024","1,2,3,4","1,2","14","No necessary in-game text","","","","","","standalone","","","","","","","","","","A5","2025-09-07","Game Brewer","English","2024","English edition"
"Alien Frontiers: Aurora","48726","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","14166634","7.07848","7.33861","2.5647","413","15909","thing","Alien Frontiers","2","4","90","90","90","2015","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","A1","2025-09-07","LocWorks","French","2015","French first edition"
"Alien Frontiers: Expansion Pack #1","161118","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","26724743","5.63882","7.30639","2.4444","0","1748","thing","Alien Frontiers: Expansion Pack #1","2","4","90","90","90","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Expansion Pack #2","161120","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","26724748","5.62334","7.27399","2.4444","0","1708","thing","Alien Frontiers: Expansion Pack #2","2","4","90","90","90","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Expansion Pack #3","161121","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","26724752","5.62417","7.31508","2.4444","0","1657","thing","Alien Frontiers: Expansion Pack #3","2","4","90","90","90","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Expansion Pack #4","161122","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","26724754","5.62092","7.26102","2.375","0","1674","thing","Alien Frontiers: Expansion Pack #4","2","4","90","90","90","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Expansion Pack #5","161123","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","26724753","5.61803","7.23889","2.2857","0","1659","thing","Alien Frontiers: Expansion Pack #5","2","4","90","90","90","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Expansion Pack #6","161124","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","26724747","5.61202","7.23693","2.2857","0","1620","thing","Alien Frontiers: Expansion Pack #6","2","4","90","90","90","2015","2,3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Expansion Pack #7","171857","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41888607","5.59253","7.33086","2.25","0","1179","thing","Alien Frontiers: Expansion Pack #7","2","6","90","0","90","2015","2,3,4,5,6","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Faction Pack #1","107407","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","15866736","5.85","7.33945","2.1875","0","2842","thing","Alien Frontiers: Faction Pack #1","2","5","90","90","90","2012","3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Clever Mojo Games","English","2012","English first edition"
"Alien Frontiers: Faction Pack #2","142647","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","19216010","5.62375","7.47281","3","0","1549","thing","Alien Frontiers: Faction Pack #2","2","5","90","0","90","2014","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Faction Pack #3","142648","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","19216014","5.61867","7.52634","2.4","0","1495","thing","Alien Frontiers: Faction Pack #3","2","5","90","0","90","2015","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Faction Pack #4","142649","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","19216012","5.6127","7.54653","2.6","0","1440","thing","Alien Frontiers: Faction Pack #4","2","5","0","0","0","2014","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Factions","93193","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","15866734","6.33237","7.6066","2.4789","0","5110","thing","Alien Frontiers: Factions","2","5","60","60","60","2012","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Clever Mojo Games","English","2012","English first edition"
"Alien Frontiers: Matter Extractor","85964","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","19216003","5.56469","6.87439","2.1667","0","522","thing","Alien Frontiers: Matter Extractor","2","4","60","60","60","2010","2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Mercury's Angels Faction","258320","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","72181002","0","7.48148","0","0","350","thing","Alien Frontiers: Mercury's Angels Faction","2","4","60","60","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Outer Belt","70647","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","17055645","5.82279","7.35681","2.6","0","2334","thing","Alien Frontiers: Outer Belt","2","6","60","60","60","2014","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Promo Pack 2017","218518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41888697","5.55273","7.42404","3","0","730","thing","Alien Frontiers: Promo Pack 2017","2","6","90","90","90","2017","2,3,4,5,6","4","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: The Mind Control Helmet","88282","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","19216007","5.74904","7.10302","2.2632","0","1430","thing","Alien Frontiers: The Mind Control Helmet","2","4","60","60","60","2011","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Clever Mojo Games","English","2011","Clever Mojo promotional edition"
"Alma Mater","299960","0","0","0","1","0","0","0","0","0","0","0","3","Revanche","","","","","68291774","6.5329","7.25825","3.7413","1246","7627","thing","Alma Mater","2","4","150","150","90","2020","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","A4","2025-09-07","","","",""
"Altered","397393","6.5","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","109293842","6.12931","7.59005","2.7021","2526","1972","thing","Altered","2","4","40","40","10","2024","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Equinox","French","2024","French edition"
"Altiplano","234487","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","47175247","7.01973","7.42423","3.2936","481","12853","thing","Altiplano","2","5","120","120","60","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Pixie Games","French","2018","French edition"
"Amalfi: Renaissance","351594","0","0","0","1","0","0","0","0","0","0","0","3","Lilojeux","","","","","104640908","6.28558","7.65955","3.2969","1927","2112","thing","Amalfi: Renaissance","1","4","120","120","60","2023","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Sylex","French","2023","French edition"
"Amun-Re: 20th Anniversary Edition","354568","8","0","0","1","0","0","0","0","0","0","0","3","BGBliss","","","","","107660020","6.06678","7.47163","2.9333","2832","2413","thing","Amun-Re: 20th Anniversary Edition","2","5","90","90","90","2023","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A5","2025-09-07","Alley Cat Games","English","2023","Retail edition"
"Amygdala","360879","7.8","0","0","1","0","0","0","0","0","0","0","3","Gamefound","","","","","97172479","5.62257","6.65887","2.9091","8398","721","thing","Amygdala","2","4","90","90","60","2023","2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B6","2025-09-07","Game Brewer","Dutch; English; French; German","2023","Multilingual deluxe edition"
"Anachrony","185343","10","3","0","1","0","0","0","0","0","0","0","1","","","","","","42486587","7.73066","8.03859","3.9975","61","27334","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mindclash Games","English; French; German","2017","English/French/German regular edition"
"Anachrony: Doomsday Enhancement Pack","211238","0","0","0","1","0","0","0","0","0","0","0","1","Kickstarter","","","","","59922101","5.8207","8.02362","3.625","0","3091","thing","Anachrony: Doomsday Enhancement Pack","1","4","120","120","60","2017","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Anachrony: Exosuit Commander Pack","218791","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","43599757","6.83674","8.5346","3.6667","0","8608","thing","Anachrony: Exosuit Commander Pack","1","4","120","120","60","2017","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Anachrony: Fractures of Time","272077","0","0","0","1","0","0","0","0","0","0","0","1","Kickstarter","","","","","58714040","6.62182","8.83027","4.5222","0","7180","thing","Anachrony: Fractures of Time","1","4","150","150","90","2020","1,2,3,4","3","16+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Anachrony: Future Imperfect","286574","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","75236703","5.98891","8.5804","4.0667","0","4581","thing","Anachrony: Future Imperfect","2","4","150","150","90","2020","1,2,3,4","3","","","","","","","","expansion","","","","","","","","","","","","Mindclash Games","English; German","2020","English/German edition"
"Anachrony: The Board Game Spotlight Promos","283833","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","75236718","5.57718","8.24097","3.3333","0","863","thing","Anachrony: The Board Game Spotlight Promos","1","4","120","120","30","2020","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Mindclash Games","English","2020","English edition"
"Anachrony: The Secret Cabal 2019 Promo Cards","283832","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","75236713","5.57375","8.40539","4","0","772","thing","Anachrony: The Secret Cabal 2019 Promo Cards","1","4","120","120","30","2020","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Mindclash Games","English","2020","English edition"
"Anachrony: The Sentry Post","266237","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","57099186","5.59106","8.1546","3.75","0","1095","thing","Anachrony: The Sentry Post","1","4","120","120","30","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ancient Knowledge","338093","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","106189040","6.46237","7.12214","2.7077","1420","5387","thing","Ancient Knowledge","2","4","75","75","75","2023","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","B3","2025-09-07","IELLO","French","2023","French edition"
"Ancient Knowledge: Heritage","404354","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140472782","5.67211","7.80287","2.4444","0","1299","thing","Ancient Knowledge: Heritage","1","4","120","120","30","2024","1,2,3","1","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","IELLO","French","2024","French edition"
"Ancient Knowledge: Promo Card Pack #2","430905","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141331911","0","8","0","0","18","thing","Ancient Knowledge: Promo Card Pack #2","1","4","0","0","0","2024","","","","","","","","","","expansion","","","","","","","","","","","","IELLO","English","2024","English edition"
"Ancient Knowledge: Promo Cards","402854","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140472650","5.52842","7.20122","3","0","346","thing","Ancient Knowledge: Promo Cards","2","4","75","75","75","2023","","","","","","","","","","expansion","","","","","","","","","","","","IELLO","English","2023","English edition"
"Android: Netrunner","124742","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","15837261","7.65204","7.89227","3.4151","85","47392","thing","Android: Netrunner","2","2","45","45","45","2013","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Edge Entertainment; Fantasy Flight Games","French","2013","French edition"
"Android: Netrunner –  Le Prix du Sang","203186","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40452877","5.6303","8.27694","0","0","1530","thing","Android: Netrunner – Blood Money","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner –  Sur le Haricot","154544","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","40452897","5.77424","8.15957","3.4545","0","2976","thing","Android: Netrunner – Upstalk","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – 23 Seconds","201553","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","56379710","5.62823","8.16803","0","0","1593","thing","Android: Netrunner – 23 Seconds","2","2","45","45","45","2016","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Ce Qui Nous Attend","130806","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","23121030","6.25233","8.11508","3.4","0","6875","thing","Android: Netrunner – What Lies Ahead","2","2","45","45","45","2013","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Edge Entertainment; Fantasy Flight Games","French","2013","French edition"
"Android: Netrunner – Création et Contrôle","139596","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","25488138","6.2901","8.21513","3.22","0","6658","thing","Android: Netrunner – Creation and Control","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
